realClass,\ari,\flesch,\coleman,\kincaid,\fog,\smog,\li,\numPerguntas,\numPassiveVoice,\porcMenoresFrases,\porcMaioresFrases,\porcConjucoes,\numAuxiliarVerb,\inicioArtigo,\inicioPronome,\inicioConjuncaoSubordinadas,\inicioConjuncao,\porcSubstantivacao,\porcPreposicao,\inicioPronomeInterrogativo,\inicioPreposicoes,\wordCount,\sentenceCount,\porcToBe,\numPronomes,\CitPerTLen,\ImagesPerSec,\numCitations,\CitPerSec,\minSLen,\maxSLen,\stdSLen,\minAbsLen,\XLinksPerSec,\ssCount,\sCount,\numExtLink,\tamMaiorFrase,\avgSLen,\meanSubsectionPerSection,\LinksPerTLen,\avgPLen,id
'ST',5.0,84.1,7.9,4.1,6.8,7.6,32.5,0.0,3.0,0.4615,0.1154,0.0302,0.0,1.0,0.0,0.0,0.0,0.0,0.1585,0.0,0.0,265.0,26.0,0.0226,20.0,0.0,0.0,0.0,0.0,119.0,1598.0,68.7,232.0,0.5,0.0,2.0,1.0,45.0,1024.0,0.0,341.3333,66.25,4929442
'ST',10.3,65.8,9.8,9.1,12.2,10.9,42.5,0.0,22.0,0.5091,0.2182,0.0436,3.0,13.0,7.0,1.0,0.0,0.0109,0.1272,2.0,3.0,1101.0,55.0,0.0327,62.0,620.8667,0.4,15.0,3.0,36.0,3647.0,217.19,196.0,0.0,0.0,5.0,0.0,67.0,1862.6,0.0,190.0612,122.3333,549418
'GA',41.3,3.1,13.4,32.3,35.9,19.4,107.6,0.0,8.0,0.6667,0.3333,0.0511,0.0,0.0,1.0,0.0,0.0,0.0256,108,0.0,1.0,704.0,9.0,0.0341,8.0,437.1923,0.0,26.0,6.5,150.0,3260.0,84.97,720.0,0.25,0.0,4.0,1.0,193.0,2841.75,0.0,206.6727,176.0,9083075
'AC',33.6,4.2,15.4,27.4,31.5,21.7,91.1,0.0,24.0,0.5556,0.4,0.0454,15.0,2.0,0.0,1.0,0.0,0.0236,0.1271,0.0,2.0,2667.0,45.0,0.0319,88.0,1013.3448,1.7143,29.0,4.1429,21.0,7368.0,278.5,1843.0,1.1429,8.0,7.0,8.0,235.0,4198143,1.1429,299.8673,177.8,8335209
'GA',17.2,48.9,11.8,14.3,17.0,13.2,59.4,0.0,45.0,0.6516,0.2516,0.0433,7.0,21.0,2.0,3.0,0.0,0.0172,0.1081,0.0,14.0,4893.0,155.0,0.0141,97.0,1171.6327,0.1111,49.0,5.4444,15.0,9262.0,209.34,1831.0,0.7778,0.0,9.0,7.0,247.0,6378.8887,0.0,105.7274,407.75,7868255
'FA',36.4,10.8,12.6,29.0,32.6,18.9,94.2,0.0,45.0,0.6769,0.2769,0.0464,41.0,15.0,1.0,2.0,0.0,0.0257,0.1113,0.0,3.0,4509.0,65.0,0.0315,60.0,952.0541,1.2,37.0,3.7,97.0,4534.0,96.37,1972.0,3.9,11.0,10.0,39.0,530.0,3522.6,1.1,182.5181,115.6154,2043655
'ST',9.7,70.5,9.0,8.4,11.1,9.8,40.8,0.0,38.0,0.4167,0.15,0.0521,18.0,18.0,3.0,7.0,0.0,0.0116,0.1579,0.0,13.0,1210.0,60.0,0.0413,33.0,7940.0,0.8,1.0,0.2,15.0,4300.0,215.96,336.0,0.6,0.0,5.0,3.0,56.0,1588.0,0.0,17.7232,67.2222,6635
'ST',13.9,53.1,12.3,11.8,14.9,12.8,50.8,0.0,20.0,0.5333,0.2,0.0365,3.0,10.0,4.0,1.0,0.0,0.0309,0.1304,0.0,3.0,713.0,30.0,0.0379,20.0,6203.0,0.5,1.0,0.25,240.0,2428.0,109.57,241.0,0.0,0.0,4.0,0.0,52.0,1550.75,0.0,182.4412,71.3,10314724
'GA',17.6,55.0,10.3,14.3,16.5,11.0,54.0,0.0,81.0,0.6716,0.2108,0.0349,14.0,40.0,8.0,13.0,0.0,0.0078,0.0921,0.0,27.0,7144.0,204.0,0.0165,103.0,888.1765,625,85.0,10625,22.0,23425.0,178.51,1818.0,0.75,8.0,8.0,6.0,428.0,9436875,1.0,155.9814,297.6667,70948
'GA',14.3,52.6,12.4,12.0,15.5,13.3,52.2,0.0,10.0,0.5652,0.3478,0.0394,3.0,3.0,6.0,2.0,0.0,0.0108,0.1308,0.0,1.0,558.0,23.0,0.0233,19.0,1192.1667,0.1667,6.0,1.0,15.0,1389.0,241.52,489.0,0.3333,0.0,6.0,2.0,54.0,1192.1667,0.0,82.2184,186.0,1445372
'GA',18.6,54.1,10.5,14.8,18.0,12.6,59.2,0.0,13.0,0.6667,0.2857,0.0428,6.0,1.0,6.0,2.0,0.0,13,0.1102,0.0,3.0,771.0,21.0,0.0246,43.0,631375,0.3333,16.0,5.3333,18.0,2105.0,132.29,1465.0,0.0,3.0,3.0,0.0,106.0,3367.3333,1.0,171.2203,154.2,3936094
'SB',16.0,52.1,11.5,13.3,16.2,12.9,60.0,0.0,4.0,0.75,0.25,0.0424,1.0,0.0,1.0,0.0,0.0,0.0085,0.0932,0.0,0.0,118.0,4.0,0.0593,3.0,251.25,0.0,4.0,4.0,971.0,971.0,0.0,0.0,3.0,0.0,0.0,3.0,86.0,0.0,0.0,125625,59.0,9180517
'BC',14.7,53.6,11.9,12.3,15.2,12.6,53.0,0.0,77.0,0.5231,0.2231,0.0457,44.0,22.0,15.0,5.0,1.0,0.0136,0.1065,1.0,11.0,3389.0,130.0,0.0363,138.0,2689889,0.0,9.0,0.6923,63.0,4534.0,261.38,677.0,1.3077,0.0,13.0,17.0,90.0,1862.2308,0.0,170.4859,116.8621,853744
'SB',18.7,47.5,10.5,15.8,19.2,14.1,58.9,0.0,3.0,0.75,125,34,0.0,2.0,1.0,0.0,0.0,0.0272,0.0952,0.0,2.0,294.0,8.0,0.0102,10.0,0.0,0.0,0.0,0.0,1909.0,1909.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,0.0,0.0,165.9231,58.8,1308956
'BC',7.5,72.6,10.0,6.3,8.6,8.8,34.0,0.0,29.0,0.6423,0.1545,0.0292,1.0,18.0,6.0,3.0,0.0,0.0108,0.0832,0.0,5.0,1575.0,123.0,0.0254,24.0,5631.3335,0.2,3.0,0.3,166.0,4041.0,245.13,1822.0,1.0,0.0,10.0,10.0,97.0,1689.4,0.0,77.1416,92.6471,104690
'SB',8.9,78.1,7.3,7.7,9.8,7.5,35.4,0.0,1.0,0.0,0.0,0.0156,0.0,0.0,1.0,0.0,0.0,0.0,0.0781,0.0,0.0,64.0,3.0,0.0156,1.0,0.0,0.0,0.0,0.0,340.0,512.0,362.04,351.0,1.0,0.0,1.0,1.0,23.0,1537.0,0.0,15.0686,32.0,5896688
'GA',14.6,51.1,11.9,12.5,16.1,13.6,51.8,0.0,29.0,0.4667,0.2444,0.0491,5.0,7.0,4.0,1.0,0.0,0.0164,0.1196,0.0,6.0,1162.0,45.0,43,34.0,1456.5,0.3333,8.0,1.3333,15.0,2306.0,101.04,1302.0,0.1667,5.0,6.0,1.0,59.0,1942.0,0.8333,191.0164,232.4,4146500
'SB',7.4,52.9,11.6,7.6,11.6,9.8,47.7,0.0,4.0,0.3333,0.1111,0.0469,0.0,1.0,3.0,0.0,0.0,0.0,0.0938,0.0,0.0,64.0,9.0,0.0625,3.0,0.0,0.0,0.0,0.0,267.0,330.0,188.8,333.0,2.0,0.0,1.0,2.0,18.0,1061.0,0.0,55.8421,21.3333,12372494
