doc_name,ARI readability feature,Coleman-Liau readability feature,Complete URL link count,Complete URL link count per section,Flesch Kincaid Readability Feature,Flesch Reading Ease Readability Feature,Gunning Fog Index readability feature,Images count,Images per section,Largest section size,Lasbarhetsindex readability feature,Mean section size,Relative URL link count per length,SMOG Grading readability feature,Same page link count,Same page link count per length,Same page link count per section,Section count,Shortest section size,Standard deviation of the section size,Subsection count,Auxiliary verbs count,Char Count,Coordination conjunctions count,Correlative conjunctions count,Indefinite pronouns count,Interrogative pronouns count,Mean subsection size,Phrase count,Word Count,Large phrase rate,Largest phrase size,Sentences starting with articles,Sentences starting with auxiliary verbs,Sentences starting with coordination conjunctions,Sentences starting with correlative conjunctions,Sentences starting with indefinite pronouns,Sentences starting with interrogative pronouns,Sentences starting with prepositions,Sentences starting with pronouns,Sentences starting with relative pronoums,Sentences starting with subordinating conjunctions,Sentences starting with to be verbs,Short phrase rate,To be verbs count
6446308,10.664465909090907,9.234791666666666,1,1,11.65159090909091,50.38704545454547,12.06060606060606,0,0,0,30.15151515151515,0,0.006010518407212622,18.491933384829668,2,0.0015026296018031556,2,0,0,0,5,3,1331,9,0,1,2,212.4,11,240,0.18181818181818185,56,1,0,0,0,0,0,1,2,0,1,0,0.3636363636363637,6
6451338,8.8856104609875,9.822594920794572,19,19,10.01346964712368,52.90897163922682,11.322901242815648,13,13,0,28.307253107039116,0,0.006829225583329685,66.06346010171025,59,0.002582848137284945,59,0,0,0,12,86,22843,180,8,48,5,1754.5833333333333,239,3977,0.2217573221757322,269,22,0,1,0,1,0,9,8,0,2,0,0.41841004184100417,89
645474,5.116707095209218,7.569072164948455,17,17,8.527254901960784,54.25205882352941,8.00113199919143,0,0,0,20.002829997978573,0,0.015907673112913287,27.124676163629637,0,0,0,0,0,0,5,7,3206,7,0,5,2,528.6,51,582,0.17647058823529413,103,0,0,0,0,1,0,3,4,0,0,0,0.4705882352941176,5
6461767,12.830710702341136,12.263079710144924,0,0,13.297246376811596,37.54229096989968,14.144481605351173,0,0,0,35.36120401337793,0,0.010017678255745434,19.61324772583615,5,0.0029463759575721863,5,0,0,0,2,3,1697,18,0,3,1,139,13,276,0.2307692307692308,69,0,0,0,0,0,0,0,2,0,0,0,0.4615384615384616,3
64646,12.38357972365806,11.819175985874043,76,76,13.135256834247286,38.34114549764277,13.7975891467899,36,36,0,34.49397286697475,0,0.013186554423971273,95.16832427683602,99,0.0019426620356743393,99,0,0,0,12,77,50961,299,9,97,13,4058.3333333333335,404,8495,0.15346534653465346,583,54,0,0,0,14,0,23,19,0,6,0,0.4801980198019802,91
64673,14.227383014728296,10.174318422726312,43,43,13.449423199230282,48.3498629782996,14.861762252359274,2,2,0,37.15440563089818,0,0.016082147306429085,71.6804193347711,78,0.002944618520895466,78,0,0,0,9,69,26489,153,8,43,29,2838.3333333333335,169,4717,0.16568047337278108,564,7,0,0,0,2,0,11,13,0,6,0,0.5502958579881657,72
647268,13.970921957586247,9.196753246753246,26,26,13.476095750293895,50.15621877053812,15.565683924058836,3,3,0,38.914209810147085,0,0.02159273115980759,45.08325082500163,18,0.0019241047568145375,18,0,0,0,6,21,9355,59,3,26,5,1351.3333333333333,61,1771,0.19672131147540983,254,2,0,0,0,0,0,7,4,0,3,0,0.5245901639344263,25
649032,10.536972238288026,9.831390977443608,9,9,11.235989974937349,50.95037304800465,11.618199344515132,2,2,0,29.045498361287834,0,0.006142371394098936,42.949968710876355,8,0.0008774816277284194,8,0,0,0,9,20,9117,65,5,18,8,950.8888888888888,78,1596,0.1794871794871795,179,17,0,2,0,0,1,4,10,1,4,0,0.4358974358974359,47
64906,11.05163255360624,9.965367121507471,10,10,12.06022011046134,46.66802997076024,12.968453541260558,2,2,0,32.421133853151396,0,0.00722755505364201,42.230090491866065,36,0.004065499717673631,36,0,0,0,5,31,8855,41,3,14,14,1552.4,72,1539,0.18055555555555555,182,2,0,0,0,0,0,8,5,0,3,0,0.375,27
6515385,8.923232582015462,11.806536465446598,17,17,10.467694044400911,42.49945684239282,11.725426819504753,0,0,22931,29.31356704876188,22931,0.0007446668710850234,63.50619802962338,8,0.0003504314687458934,8,1,22931,0,7,58,22829,187,14,65,38,2822.714285714286,290,3661,0.19310344827586207,320,12,0,5,2,3,3,13,2,1,9,0,0.5724137931034483,52
